Month,Vertical,Client,Horizontal,Project Id,Project Name,Comment,Onsite/Offshore,Billing Type,Revenue,Compensation,Travel Expense,Software Licenses,Subcontracting Costs,Margin
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,(blank),Offshore,T&M,59219,5846,4400,1600,15200,32173
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,(blank),Onsite,T&M,32321,19167,1700,1100,0,10354
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,HCM,276,American Express_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,HCM,276,American Express_HCM_project,(blank),Offshore,T&M,35621,2154,2300,710,13414,17043
Jan,BFS,American Express,HCM,276,American Express_HCM_project,(blank),Onsite,T&M,56763,28167,3400,770,12000,12427
Jan,BFS,American Express,HCM,276,American Express_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,QA,278,American Express_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,QA,278,American Express_QA_project,(blank),Offshore,T&M,71390,9000,7550,2750,30264,21826
Jan,BFS,American Express,QA,278,American Express_QA_project,(blank),Onsite,T&M,0,0,200,0,0,-200
Jan,BFS,American Express,QA,278,American Express_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,SAP,277,American Express_SAP_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,American Express,SAP,277,American Express_SAP_project,(blank),Offshore,FixedBid,42291,1769,2650,1830,27526,8516
Jan,BFS,American Express,SAP,277,American Express_SAP_project,(blank),Onsite,FixedBid,29926,18583,700,810,0,9833
Jan,BFS,American Express,SAP,277,American Express_SAP_project,True Up/Down,(blank),FixedBid,-24936,0,0,0,0,-24936
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,(blank),Offshore,T&M,53832,2923,1400,370,34857,14282
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,(blank),Onsite,T&M,31249,11333,1250,1410,12768,4488
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,HCM,66,Bank of America Corp._HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
