Month,Vertical,Client,Horizontal,Project Id,Project Name,Comment,Onsite/Offshore,Billing Type,Revenue,Compensation,Travel Expense,Software Licenses,Subcontracting Costs,Margin
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,(blank),Offshore,T&M,59219.328,5846.153846,4400,1600,15200,32173.17415
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,(blank),Onsite,T&M,32320.512,19166.66667,1700,1100,0,10353.84533
Jan,BFS,American Express,Analytics,275,American Express_Analytics_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,HCM,276,American Express_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,HCM,276,American Express_HCM_project,(blank),Offshore,T&M,35620.816,2153.846154,2300,710,13414,17042.96985
Jan,BFS,American Express,HCM,276,American Express_HCM_project,(blank),Onsite,T&M,56763.168,28166.66667,3400,770,12000,12426.50133
Jan,BFS,American Express,HCM,276,American Express_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,QA,278,American Express_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,QA,278,American Express_QA_project,(blank),Offshore,T&M,71389.696,9000,7550,2750,30264,21825.696
Jan,BFS,American Express,QA,278,American Express_QA_project,(blank),Onsite,T&M,0,0,200,0,0,-200
Jan,BFS,American Express,QA,278,American Express_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,American Express,SAP,277,American Express_SAP_project,Adjustments,(blank),FixedBid,0,0,0,0,0,0
Jan,BFS,American Express,SAP,277,American Express_SAP_project,(blank),Offshore,FixedBid,42291.2,1769.230769,2650,1830,27526,8515.969231
Jan,BFS,American Express,SAP,277,American Express_SAP_project,(blank),Onsite,FixedBid,29926.4,18583.33333,700,810,0,9833.066667
Jan,BFS,American Express,SAP,277,American Express_SAP_project,True Up/Down,(blank),FixedBid,-24935.68,0,0,0,0,-24935.68
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,(blank),Offshore,T&M,53831.712,2923.076923,1400,370,34857,14281.63508
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,(blank),Onsite,T&M,31249.152,11333.33333,1250,1410,12768,4487.818667
Jan,BFS,Bank of America Corp.,Analytics,65,Bank of America Corp._Analytics_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,HCM,66,Bank of America Corp._HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,HCM,66,Bank of America Corp._HCM_project,(blank),Offshore,T&M,55663.872,6153.846154,3200,570,29705,16035.02585
Jan,BFS,Bank of America Corp.,HCM,66,Bank of America Corp._HCM_project,(blank),Onsite,T&M,32284.736,29416.66667,1650,1460,0,-241.9306667
Jan,BFS,Bank of America Corp.,HCM,66,Bank of America Corp._HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,QA,68,Bank of America Corp._QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,QA,68,Bank of America Corp._QA_project,(blank),Offshore,T&M,19691.584,1923.076923,1200,850,20813,-5094.492923
Jan,BFS,Bank of America Corp.,QA,68,Bank of America Corp._QA_project,(blank),Onsite,T&M,32020.736,23000,3250,200,12792,-7221.264
Jan,BFS,Bank of America Corp.,QA,68,Bank of America Corp._QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,SAP,67,Bank of America Corp._SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank of America Corp.,SAP,67,Bank of America Corp._SAP_project,(blank),Offshore,T&M,53275.2,6307.692308,4600,1170,28504,12693.50769
Jan,BFS,Bank of America Corp.,SAP,67,Bank of America Corp._SAP_project,(blank),Onsite,T&M,44505.12,36166.66667,1400,470,0,6468.453333
Jan,BFS,Bank of America Corp.,SAP,67,Bank of America Corp._SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank One Corp.,QA,248,Bank One Corp._QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank One Corp.,QA,248,Bank One Corp._QA_project,(blank),Offshore,T&M,60116.296,5846.153846,3450,690,57365,-7234.857846
Jan,BFS,Bank One Corp.,QA,248,Bank One Corp._QA_project,(blank),Onsite,T&M,21753.024,11916.66667,1650,110,12640,-4563.642667
Jan,BFS,Bank One Corp.,QA,248,Bank One Corp._QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank One Corp.,SAP,247,Bank One Corp._SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Bank One Corp.,SAP,247,Bank One Corp._SAP_project,(blank),Offshore,T&M,17201.92,3538.461538,2700,1050,0,9913.458462
Jan,BFS,Bank One Corp.,SAP,247,Bank One Corp._SAP_project,(blank),Onsite,T&M,22411.98,22916.66667,800,1110,0,-2414.686667
Jan,BFS,Bank One Corp.,SAP,247,Bank One Corp._SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Berkshire Hathaway,QA,133,Berkshire Hathaway_QA_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Berkshire Hathaway,QA,133,Berkshire Hathaway_QA_project,(blank),Offshore,T&M,42596.68,3538.461538,3450,670,34551,387.2184615
Jan,BFS,Berkshire Hathaway,QA,133,Berkshire Hathaway_QA_project,(blank),Onsite,T&M,20958.44,13166.66667,3250,1000,11972,-8430.226667
Jan,BFS,Berkshire Hathaway,QA,133,Berkshire Hathaway_QA_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Berkshire Hathaway,SAP,132,Berkshire Hathaway_SAP_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,Berkshire Hathaway,SAP,132,Berkshire Hathaway_SAP_project,(blank),Offshore,T&M,42793.41,1384.615385,5150,1530,38111,-3382.205385
Jan,BFS,Berkshire Hathaway,SAP,132,Berkshire Hathaway_SAP_project,(blank),Onsite,T&M,28659.75,15000,2500,1150,13104,-3094.25
Jan,BFS,Berkshire Hathaway,SAP,132,Berkshire Hathaway_SAP_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
Jan,BFS,ChevronTexaco,HCM,25,ChevronTexaco_HCM_project,Adjustments,(blank),T&M,0,0,0,0,0,0
Jan,BFS,ChevronTexaco,HCM,25,ChevronTexaco_HCM_project,(blank),Offshore,T&M,22502.832,1615.384615,700,600,8904,10683.44738
Jan,BFS,ChevronTexaco,HCM,25,ChevronTexaco_HCM_project,(blank),Onsite,T&M,23633.489,5666.666667,1500,320,12024,4122.822333
Jan,BFS,ChevronTexaco,HCM,25,ChevronTexaco_HCM_project,True Up/Down,(blank),T&M,0,0,0,0,0,0
